"類型","日期","內容"
"各國放假日","2022/01/01","本日休巿國家：AU澳洲AU澳洲CH中國HK香港LX盧森堡UK英國TW台灣SA南非"
"各國放假日","2022/01/02","本日休巿國家：CH中國"
"各國放假日","2022/01/03","本日休巿國家：AU澳洲CH中國UK英國"
"各國放假日","2022/01/17","本日休巿國家：US美國"
"各國放假日","2022/01/26","本日休巿國家：AU澳洲"
"各國放假日","2022/01/31","本日休巿國家：CH中國HK香港TW台灣"
"各國放假日","2022/02/01","本日休巿國家：CH中國HK香港TW台灣"
"各國放假日","2022/02/02","本日休巿國家：CH中國HK香港TW台灣"
"各國放假日","2022/02/03","本日休巿國家：CH中國HK香港TW台灣"
"各國放假日","2022/02/04","本日休巿國家：CH中國TW台灣"
"各國放假日","2022/02/05","本日休巿國家：CH中國"
"各國放假日","2022/02/06","本日休巿國家：CH中國"
"各國放假日","2022/02/21","本日休巿國家：US美國"
"各國放假日","2022/02/28","本日休巿國家：TW台灣"
"各國放假日","2022/03/21","本日休巿國家：SA南非"
"各國放假日","2022/04/03","本日休巿國家：CH中國"
"各國放假日","2022/04/04","本日休巿國家：CH中國TW台灣"
"各國放假日","2022/04/05","本日休巿國家：CH中國HK香港TW台灣"
"各國放假日","2022/04/15","本日休巿國家：AU澳洲US美國HK香港LX盧森堡UK英國SA南非"
"各國放假日","2022/04/16","本日休巿國家：AU澳洲HK香港"
"各國放假日","2022/04/18","本日休巿國家：AU澳洲HK香港LX盧森堡UK英國SA南非"
"各國放假日","2022/04/25","本日休巿國家：AU澳洲"
"各國放假日","2022/04/27","本日休巿國家：SA南非"
"各國放假日","2022/04/30","本日休巿國家：CH中國"
"各國放假日","2022/05/01","本日休巿國家：CH中國LX盧森堡"
"各國放假日","2022/05/02","本日休巿國家：CH中國HK香港UK英國TW台灣SA南非"
"各國放假日","2022/05/03","本日休巿國家：CH中國"
"各國放假日","2022/05/04","本日休巿國家：CH中國"
"各國放假日","2022/05/09","本日休巿國家：HK香港"
"各國放假日","2022/05/30","本日休巿國家：US美國"
"各國放假日","2022/06/02","本日休巿國家：UK英國"
"各國放假日","2022/06/03","本日休巿國家：CH中國HK香港UK英國TW台灣"
"各國放假日","2022/06/04","本日休巿國家：CH中國"
"各國放假日","2022/06/05","本日休巿國家：CH中國"
"各國放假日","2022/06/13","本日休巿國家：AU澳洲"
"各國放假日","2022/06/16","本日休巿國家：SA南非"
"各國放假日","2022/06/19","本日休巿國家：US美國"
"各國放假日","2022/06/20","本日休巿國家：US美國"
"各國放假日","2022/07/01","本日休巿國家：HK香港"
"各國放假日","2022/07/04","本日休巿國家：US美國"
"各國放假日","2022/08/01","本日休巿國家：AU澳洲"
"各國放假日","2022/08/09","本日休巿國家：SA南非"
"各國放假日","2022/08/29","本日休巿國家：UK英國"
"各國放假日","2022/09/05","本日休巿國家：US美國"
"各國放假日","2022/09/09","本日休巿國家：TW台灣"
"各國放假日","2022/09/10","本日休巿國家：CH中國"
"各國放假日","2022/09/11","本日休巿國家：CH中國"
"各國放假日","2022/09/12","本日休巿國家：CH中國HK香港"
"各國放假日","2022/09/24","本日休巿國家：SA南非"
"各國放假日","2022/10/01","本日休巿國家：CH中國HK香港"
"各國放假日","2022/10/02","本日休巿國家：CH中國"
"各國放假日","2022/10/03","本日休巿國家：AU澳洲CH中國"
"各國放假日","2022/10/04","本日休巿國家：CH中國HK香港"
"各國放假日","2022/10/05","本日休巿國家：CH中國"
"各國放假日","2022/10/06","本日休巿國家：CH中國"
"各國放假日","2022/10/07","本日休巿國家：CH中國"
"各國放假日","2022/10/10","本日休巿國家：US美國TW台灣"
"各國放假日","2022/11/11","本日休巿國家：US美國"
"各國放假日","2022/11/24","本日休巿國家：US美國"
"各國放假日","2022/12/16","本日休巿國家：SA南非"
"各國放假日","2022/12/24","本日休巿國家：HK香港LX盧森堡"
"各國放假日","2022/12/25","本日休巿國家：US美國LX盧森堡SA南非"
"各國放假日","2022/12/26","本日休巿國家：AU澳洲US美國HK香港LX盧森堡UK英國SA南非"
"各國放假日","2022/12/27","本日休巿國家：AU澳洲HK香港UK英國"
"各國放假日","2022/12/31","本日休巿國家：HK香港LX盧森堡"
