"類型","日期","內容"
"基金配息基準日","2022/01/03","本月基金配息基準日:NN(L)(債/平/股)、元大印尼債"
"基金配息基準日","2022/01/04","本月基金配息基準日:施羅德(境內)(分配2021年12月份的配息)、群益、元大全球不動產、全球地產、股票入息、全球公用能源、亞太政府公債指數(B)"
"基金配息基準日","2022/01/05","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B、新光投信(新興富域債券基金)"
"基金配息基準日","2022/01/06","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金、瑞銀2023至2025年機動到期新興市場債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配/季配)、瀚亞境內(亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期新興市場債券基金 / 六年到期ESG新興市場債券基金 / 美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/01/07","本月基金配息基準日:瑞銀精選債券收益組合證券投資信託基金、摩根(境外月配)、瀚亞境內(全高收)、富蘭克林(境外)"
"基金配息基準日","2022/01/10","本月基金配息基準日:永豐"
"基金配息基準日","2022/01/13","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/01/14","本月基金配息基準日:台新、安聯(境外盧森堡系列)、瑞銀(境外)、瑞銀2026 年到期優選新興亞洲債券證券投資信託基金、鋒裕匯理投信(境內)"
"基金配息基準日","2022/01/25","本月基金配息基準日:安本標準投信(境內)、聯博美國多重資產收益基金、聯博美國成長入息基金、貝萊德(境內)"
"基金配息基準日","2022/01/26","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)、第一金全球高收益債券基金B(月配息)"
"基金配息基準日","2022/01/27","本月基金配息基準日:聯博(境內)*、匯豐(境外)、MFS全盛"
"基金配息基準日","2022/01/28","本月基金配息基準日:安本標準投信(境外)、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、聯博(境外)、瀚亞境外(中國股)、貝萊德(境外)、匯豐(境內)、柏瑞(境內)、鋒裕匯理投信(境外基金長鷹系列)、景順(境內)"
"基金配息基準日","2022/01/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、 富達(境外)、景順(境外)、路博邁境外基金、摩根境外環球債券收益月配、瀚亞境外(美優債/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、晉達、野村基金(愛爾蘭系列)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/02/01","本月基金配息基準日:NN(L)(債/平)"
"基金配息基準日","2022/02/04","本月基金配息基準日:NN(L)(股)、柏瑞環球"
"基金配息基準日","2022/02/07","本月基金配息基準日:施羅德(境內)、摩根(境外月配/季配)、富蘭克林(境外)、元大印尼債"
"基金配息基準日","2022/02/08","本月基金配息基準日:永豐、群益、新光投信(新興富域債券基金)、元大全球不動產、全球地產、股票入息、全球公用能源、亞太政府公債指數(B)、亞太優質高股息100指數(季配)"
"基金配息基準日","2022/02/09","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B、摩根(境內月配)"
"基金配息基準日","2022/02/10","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、瀚亞境內(全高收、亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金 / 美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)"
"基金配息基準日","2022/02/14","本月基金配息基準日:安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/02/17","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/02/18","本月基金配息基準日:台新"
"基金配息基準日","2022/02/23","本月基金配息基準日:安聯(境內)、施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/02/24","本月基金配息基準日:安本標準投信(境內)、PIMCO、聯博(境內)、貝萊德(境內)、匯豐(境外)、MFS全盛"
"基金配息基準日","2022/02/25","本月基金配息基準日:安本標準投信(境外)、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、聯博(境外)、貝萊德(境外)、第一金全球高收益債券基金B(月配息)、匯豐(境內)、柏瑞(境內)、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/02/28","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、 富達(境外)、景順(境外)、路博邁境外基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、晉達、野村基金(愛爾蘭系列)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/03/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)、元大印尼債"
"基金配息基準日","2022/03/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)、元大全球不動產、全球地產、股票入息、全球公用能源、亞太政府公債指數(B)"
"基金配息基準日","2022/03/03","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/03/04","本月基金配息基準日:本年基金配息基準日:安聯(境外德國系列)、配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金 / 美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/03/07","本月基金配息基準日:摩根(境外月配)、瀚亞境內(印度策略、印度基建債)、富蘭克林(境外)"
"基金配息基準日","2022/03/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/03/11","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/03/14","本月基金配息基準日:台新、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/03/29","本月基金配息基準日:安聯(境內)、PIMCO、匯豐(境外)"
"基金配息基準日","2022/03/30","本月基金配息基準日:安本標準投信(境內)、施羅德境外(環球系列/傘型II)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/03/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/04/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/04/06","本月基金配息基準日:群益、新光投信(新興富域債券基金)、柏瑞環球"
"基金配息基準日","2022/04/07","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B、摩根(境外月配)、富蘭克林(境外)"
"基金配息基準日","2022/04/08","本月基金配息基準日:永豐、配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金、瑞銀2023至2025年機動到期新興市場債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配/季配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期新興市場債券基金 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)"
"基金配息基準日","2022/04/11","本月基金配息基準日:瀚亞境內(印度策略、印度基建債)"
"基金配息基準日","2022/04/14","本月基金配息基準日:安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/04/15","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/04/18","本月基金配息基準日:台新"
"基金配息基準日","2022/04/27","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)、匯豐(境外)"
"基金配息基準日","2022/04/28","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
